  I  J
------
 45  4
 90  4
 13  6
 15  6
 22  6
 32  6
 82  8
 12 10
 20 10
 43 10
 46 10
 82 10
 78 11
 27 12
 46 12
 60 12
 79 12
 95 12
 78 13
 78 13
 40 14
 48 14
 78 14
 80 14
  6 15
  8 15
 32 15
 38 15
 79 15
 81 15
  7 16
  9 16
 50 16
 78 16
 80 16
 83 16
  8 17
  9 17
 40 17
  6 18
 38 18
 65 18
 79 18
 84 18
  5 19
 82 19
  9 20
 36 20
 48 20
 79 20
 84 20
 21 21
 56 21
 82 21
 95 21
 18 22
 88 22
 81 23
 88 23
 28 24
 31 24
 84 24
 28 25
 29 25
  1 26
 28 26
 32 26
 77 26
 78 26
 10 27
 22 27
 26 27
 40 27
 79 27
  1 28
 21 28
 22 28
 28 28
 30 28
 33 28
 47 28
 74 28
 93 28
 12 29
 21 29
 23 29
 29 29
 31 29
 49 29
 70 29
 72 29
 74 29
 78 29
 93 29
 96 29
 11 30
 14 30
 17 30
 20 30
 22 30
 24 30
 26 30
 28 30
 30 30
 33 30
 38 30
 43 30
 55 30
 71 30
 95 30
 11 31
 19 31
 21 31
 23 31
 25 31
 27 31
 29 31
 31 31
 33 31
 36 31
 39 31
 50 31
 69 31
 70 31
 76 31
 93 31
  1 32
  3 32
  5 32
 10 32
 14 32
 20 32
 22 32
 24 32
 26 32
 28 32
 30 32
 31 32
 32 32
 33 32
 34 32
 36 32
 38 32
 67 32
 69 32
 71 32
 75 32
 95 32
 12 33
 21 33
 25 33
 27 33
 29 33
 31 33
 32 33
 33 33
 34 33
 36 33
 66 33
 68 33
 70 33
 72 33
 74 33
 76 33
 79 33
 92 33
 96 33
  1 34
  3 34
 11 34
 13 34
 15 34
 17 34
 19 34
 22 34
 24 34
 26 34
 28 34
 30 34
 31 34
 32 34
 33 34
 35 34
 37 34
 38 34
 39 34
 65 34
 67 34
 69 34
 71 34
 73 34
 75 34
 77 34
 95 34
  6 35
  8 35
 10 35
 12 35
 14 35
 16 35
 18 35
 20 35
 23 35
 25 35
 27 35
 29 35
 31 35
 32 35
 33 35
 35 35
 38 35
 64 35
 66 35
 68 35
 70 35
 72 35
 74 35
 76 35
 93 35
 96 35
  1 36
  3 36
  5 36
  7 36
  9 36
 11 36
 13 36
 15 36
 17 36
 19 36
 21 36
 24 36
 28 36
 30 36
 32 36
 33 36
 34 36
 35 36
 36 36
 39 36
 50 36
 64 36
 65 36
 67 36
 69 36
 71 36
 73 36
 75 36
 77 36
 78 36
 95 36
  2 37
  4 37
  6 37
  8 37
 10 37
 12 37
 14 37
 18 37
 22 37
 26 37
 29 37
 31 37
 33 37
 35 37
 37 37
 39 37
 64 37
 66 37
 68 37
 70 37
 72 37
 74 37
 76 37
 78 37
 80 37
 96 37
  1 38
  2 38
  3 38
  4 38
  5 38
  7 38
  9 38
 11 38
 15 38
 19 38
 23 38
 27 38
 30 38
 32 38
 34 38
 36 38
 38 38
 63 38
 65 38
 69 38
 73 38
 77 38
 81 38
 93 38
 95 38
 96 38
  1 39
  3 39
  5 39
  6 39
  8 39
 10 39
 13 39
 16 39
 20 39
 25 39
 29 39
 33 39
 37 39
 43 39
 62 39
 64 39
 67 39
 71 39
 75 39
 79 39
 94 39
 95 39
 96 39
  2 40
  4 40
  7 40
  9 40
 11 40
 14 40
 18 40
 22 40
 27 40
 31 40
 35 40
 38 40
 44 40
 52 40
 54 40
 61 40
 63 40
 66 40
 69 40
 72 40
 76 40
 80 40
 96 40
  3 41
  5 41
  7 41
 10 41
 13 41
 16 41
 20 41
 24 41
 29 41
 33 41
 37 41
 41 41
 45 41
 48 41
 52 41
 56 41
 59 41
 62 41
 67 41
 71 41
 77 41
 85 41
 93 41
  4 42
  6 42
  9 42
 12 42
 15 42
 18 42
 22 42
 26 42
 31 42
 35 42
 39 42
 43 42
 47 42
 51 42
 55 42
 58 42
 63 42
 69 42
 76 42
 91 42
  8 43
 11 43
 16 43
 21 43
 27 43
 33 43
 38 43
 44 43
 49 43
 54 43
 60 43
 83 43
 90 43
 94 43
 15 44
 24 44
 30 44
 40 44
  1 45
 19 45
 28 45
 72 45
 92 45
 80 46
